資料番号,書誌ID,テキストの言語名称,書名,著者名,出版社,出版年,CiNiiリンク,書誌表示URL
1000,9784764904279,日本語,Linked Data: Webをグローバルなデータ空間にする仕組み,"トム ヒース (著), クリスチャン バイツァー (著), 武田 英明 (翻訳)",近代科学社,2013,http://ci.nii.ac.jp/ncid/BB11534438,https://www.amazon.co.jp/dp/4764904276/
1001,433902869X,日本語,セマンティックWebとリンクトデータ,兼岩 憲 (著),コロナ社,2017,http://ci.nii.ac.jp/ncid/BB22963254,https://www.amazon.co.jp/dp/433902869X
1002,9784802090438,日本語,SPARQL : オープンデータ時代の標準Web API,"加藤 文彦 (著), 川島 秀一 (著), 岡別府 陽子 (著), 山本 泰智 (著), 片山 俊明 (著)",インプレスR&D,2015,http://ci.nii.ac.jp/ncid/BB20061144,https://www.amazon.co.jp/dp/4802090439
